Row No.,Passenger Class,Name,Sex,Age,No of Sibilings or Spouses on Board,No of Partners or Childern on Board,Ticket Number,Passenger Fare,Cabin,Port of Embarkation,Life Boat,Survived
28,First,"Bishop, Mrs. Dickinson H (Helen Walton)",Female,19,1,0,11967,91.0792,B49,Cherbourg,7,Yes
29,First,"Bissette, Miss. Amelia",Female,35,0,0,PC 17760,135.6333,C99,Southampton,8,Yes
30,First,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",Male,28,0,0,110564,26.55,C52,Southampton,D,Yes
31,First,"Blackwell, Mr. Stephen Weart",Male,45,0,0,113784,35.5,T,Southampton,?,No
32,First,"Blank, Mr. Henry",Male,40,0,0,112277,31,A31,Cherbourg,7,Yes
33,First,"Bonnell, Miss. Caroline",Female,30,0,0,36928,164.8667,C7,Southampton,8,Yes
34,First,"Bonnell, Miss. Elizabeth",Female,58,0,0,113783,26.55,C103,Southampton,8,Yes
35,First,"Borebank, Mr. John James",Male,42,0,0,110489,26.55,D22,Southampton,?,No
36,First,"Bowen, Miss. Grace Scott",Female,45,0,0,PC 17608,262.375,?,Cherbourg,4,Yes
37,First,"Bowerman, Miss. Elsie Edith",Female,22,0,1,113505,55,E33,Southampton,6,Yes
38,First,"Bradley, Mr. George (""George Arthur Brayton"")",Male,?,0,0,111427,26.55,?,Southampton,9,Yes
39,First,"Brady, Mr. John Bertram",Male,41,0,0,113054,30.5,A21,Southampton,?,No
40,First,"Brandeis, Mr. Emil",Male,48,0,0,PC 17591,50.4958,B10,Cherbourg,?,No
41,First,"Brewe, Dr. Arthur Jackson",Male,?,0,0,112379,39.6,?,Cherbourg,?,No
42,First,"Brown, Mrs. James Joseph (Margaret Tobin)",Female,44,0,0,PC 17610,27.7208,B4,Cherbourg,6,Yes
43,First,"Brown, Mrs. John Murray (Caroline Lane Lamson)",Female,59,2,0,11769,51.4792,C101,Southampton,D,Yes
44,First,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",Female,60,0,0,11813,76.2917,D15,Cherbourg,8,Yes
45,First,"Burns, Miss. Elizabeth Margaret",Female,41,0,0,16966,134.5,E40,Cherbourg,3,Yes
46,First,"Butt, Major. Archibald Willingham",Male,45,0,0,113050,26.55,B38,Southampton,?,No
47,First,"Cairns, Mr. Alexander",Male,?,0,0,113798,31,?,Southampton,?,No
48,First,"Calderhead, Mr. Edward Pennington",Male,42,0,0,PC 17476,26.2875,E24,Southampton,5,Yes
49,First,"Candee, Mrs. Edward (Helen Churchill Hungerford)",Female,53,0,0,PC 17606,27.4458,?,Cherbourg,6,Yes
50,First,"Cardeza, Mr. Thomas Drake Martinez",Male,36,0,1,PC 17755,512.3292,B51 B53 B55,Cherbourg,3,Yes
51,First,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",Female,58,0,1,PC 17755,512.3292,B51 B53 B55,Cherbourg,3,Yes
52,First,"Carlsson, Mr. Frans Olof",Male,33,0,0,695,5,B51 B53 B55,Southampton,?,No
53,First,"Carrau, Mr. Francisco M",Male,28,0,0,113059,47.1,?,Southampton,?,No
54,First,"Carrau, Mr. Jose Pedro",Male,17,0,0,113059,47.1,?,Southampton,?,No
55,First,"Carter, Master. William Thornton II",Male,11,1,2,113760,120,B96 B98,Southampton,4,Yes
56,First,"Carter, Miss. Lucile Polk",Female,14,1,2,113760,120,B96 B98,Southampton,4,Yes
57,First,"Carter, Mr. William Ernest",Male,36,1,2,113760,120,B96 B98,Southampton,C,Yes
58,First,"Carter, Mrs. William Ernest (Lucile Polk)",Female,36,1,2,113760,120,B96 B98,Southampton,4,Yes
59,First,"Case, Mr. Howard Brown",Male,49,0,0,19924,26,?,Southampton,?,No
60,First,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",Female,?,0,0,17770,27.7208,?,Cherbourg,5,Yes
61,First,"Cavendish, Mr. Tyrell William",Male,36,1,0,19877,78.85,C46,Southampton,?,No
62,First,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",Female,76,1,0,19877,78.85,C46,Southampton,6,Yes
63,First,"Chaffee, Mr. Herbert Fuller",Male,46,1,0,W.E.P. 5734,61.175,E31,Southampton,?,No
64,First,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",Female,47,1,0,W.E.P. 5734,61.175,E31,Southampton,4,Yes
65,First,"Chambers, Mr. Norman Campbell",Male,27,1,0,113806,53.1,E8,Southampton,5,Yes
66,First,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",Female,33,1,0,113806,53.1,E8,Southampton,5,Yes
67,First,"Chaudanson, Miss. Victorine",Female,36,0,0,PC 17608,262.375,B61,Cherbourg,4,Yes
68,First,"Cherry, Miss. Gladys",Female,30,0,0,110152,86.5,B77,Southampton,8,Yes
69,First,"Chevre, Mr. Paul Romaine",Male,45,0,0,PC 17594,29.7,A9,Cherbourg,7,Yes
70,First,"Chibnall, Mrs. (Edith Martha Bowerman)",Female,?,0,1,113505,55,E33,Southampton,6,Yes
71,First,"Chisholm, Mr. Roderick Robert Crispin",Male,?,0,0,112051,0,?,Southampton,?,No
72,First,"Clark, Mr. Walter Miller",Male,27,1,0,13508,136.7792,C89,Cherbourg,?,No
73,First,"Clark, Mrs. Walter Miller (Virginia McDowell)",Female,26,1,0,13508,136.7792,C89,Cherbourg,4,Yes
74,First,"Cleaver, Miss. Alice",Female,22,0,0,113781,151.55,?,Southampton,11,Yes
75,First,"Clifford, Mr. George Quincy",Male,?,0,0,110465,52,A14,Southampton,?,No
76,First,"Colley, Mr. Edward Pomeroy",Male,47,0,0,5727,25.5875,E58,Southampton,?,No
77,First,"Compton, Miss. Sara Rebecca",Female,39,1,1,PC 17756,83.1583,E49,Cherbourg,14,Yes
78,First,"Compton, Mr. Alexander Taylor Jr",Male,37,1,1,PC 17756,83.1583,E52,Cherbourg,?,No
79,First,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",Female,64,0,2,PC 17756,83.1583,E45,Cherbourg,14,Yes
80,First,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",Female,55,2,0,11770,25.7,C101,Southampton,2,Yes
81,First,"Crafton, Mr. John Bertram",Male,?,0,0,113791,26.55,?,Southampton,?,No
82,First,"Crosby, Capt. Edward Gifford",Male,70,1,1,WE/P 5735,71,B22,Southampton,?,No
83,First,"Crosby, Miss. Harriet R",Female,36,0,2,WE/P 5735,71,B22,Southampton,7,Yes
84,First,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",Female,64,1,1,112901,26.55,B26,Southampton,7,Yes
85,First,"Cumings, Mr. John Bradley",Male,39,1,0,PC 17599,71.2833,C85,Cherbourg,?,No
86,First,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",Female,38,1,0,PC 17599,71.2833,C85,Cherbourg,4,Yes
87,First,"Daly, Mr. Peter Denis",Male,51,0,0,113055,26.55,E17,Southampton,5 9,Yes
88,First,"Daniel, Mr. Robert Williams",Male,27,0,0,113804,30.5,?,Southampton,3,Yes
89,First,"Daniels, Miss. Sarah",Female,33,0,0,113781,151.55,?,Southampton,8,Yes
90,First,"Davidson, Mr. Thornton",Male,31,1,0,F.C. 12750,52,B71,Southampton,?,No
91,First,"Davidson, Mrs. Thornton (Orian Hays)",Female,27,1,2,F.C. 12750,52,B71,Southampton,3,Yes
92,First,"Dick, Mr. Albert Adrian",Male,31,1,0,17474,57,B20,Southampton,3,Yes
93,First,"Dick, Mrs. Albert Adrian (Vera Gillespie)",Female,17,1,0,17474,57,B20,Southampton,3,Yes
94,First,"Dodge, Dr. Washington",Male,53,1,1,33638,81.8583,A34,Southampton,13,Yes
95,First,"Dodge, Master. Washington",Male,4,0,2,33638,81.8583,A34,Southampton,5,Yes
96,First,"Dodge, Mrs. Washington (Ruth Vidaver)",Female,54,1,1,33638,81.8583,A34,Southampton,5,Yes
97,First,"Douglas, Mr. Walter Donald",Male,50,1,0,PC 17761,106.425,C86,Cherbourg,?,No
98,First,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",Female,27,1,1,PC 17558,247.5208,B58 B60,Cherbourg,6,Yes
99,First,"Douglas, Mrs. Walter Donald (Mahala Dutton)",Female,48,1,0,PC 17761,106.425,C86,Cherbourg,2,Yes
100,First,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",Female,48,1,0,11755,39.6,A16,Cherbourg,1,Yes
101,First,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",Male,49,1,0,PC 17485,56.9292,A20,Cherbourg,1,Yes
102,First,"Dulles, Mr. William Crothers",Male,39,0,0,PC 17580,29.7,A18,Cherbourg,?,No
103,First,"Earnshaw, Mrs. Boulton (Olive Potter)",Female,23,0,1,11767,83.1583,C54,Cherbourg,7,Yes
104,First,"Endres, Miss. Caroline Louise",Female,38,0,0,PC 17757,227.525,C45,Cherbourg,4,Yes
105,First,"Eustis, Miss. Elizabeth Mussey",Female,54,1,0,36947,78.2667,D20,Cherbourg,4,Yes
106,First,"Evans, Miss. Edith Corse",Female,36,0,0,PC 17531,31.6792,A29,Cherbourg,?,No
107,First,"Farthing, Mr. John",Male,?,0,0,PC 17483,221.7792,C95,Southampton,?,No
108,First,"Flegenheim, Mrs. Alfred (Antoinette)",Female,?,0,0,PC 17598,31.6833,?,Southampton,7,Yes
109,First,"Fleming, Miss. Margaret",Female,?,0,0,17421,110.8833,?,Cherbourg,4,Yes
110,First,"Flynn, Mr. John Irwin (""Irving"")",Male,36,0,0,PC 17474,26.3875,E25,Southampton,5,Yes
111,First,"Foreman, Mr. Benjamin Laventall",Male,30,0,0,113051,27.75,C111,Cherbourg,?,No
112,First,"Fortune, Miss. Alice Elizabeth",Female,24,3,2,19950,263,C23 C25 C27,Southampton,10,Yes
113,First,"Fortune, Miss. Ethel Flora",Female,28,3,2,19950,263,C23 C25 C27,Southampton,10,Yes
114,First,"Fortune, Miss. Mabel Helen",Female,23,3,2,19950,263,C23 C25 C27,Southampton,10,Yes
115,First,"Fortune, Mr. Charles Alexander",Male,19,3,2,19950,263,C23 C25 C27,Southampton,?,No
116,First,"Fortune, Mr. Mark",Male,64,1,4,19950,263,C23 C25 C27,Southampton,?,No
117,First,"Fortune, Mrs. Mark (Mary McDougald)",Female,60,1,4,19950,263,C23 C25 C27,Southampton,10,Yes
118,First,"Francatelli, Miss. Laura Mabel",Female,30,0,0,PC 17485,56.9292,E36,Cherbourg,1,Yes
119,First,"Franklin, Mr. Thomas Parham",Male,?,0,0,113778,26.55,D34,Southampton,?,No
120,First,"Frauenthal, Dr. Henry William",Male,50,2,0,PC 17611,133.65,?,Southampton,5,Yes
121,First,"Frauenthal, Mr. Isaac Gerald",Male,43,1,0,17765,27.7208,D40,Cherbourg,5,Yes
122,First,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",Female,?,1,0,PC 17611,133.65,?,Southampton,5,Yes
123,First,"Frolicher, Miss. Hedwig Margaritha",Female,22,0,2,13568,49.5,B39,Cherbourg,5,Yes
124,First,"Frolicher-Stehli, Mr. Maxmillian",Male,60,1,1,13567,79.2,B41,Cherbourg,5,Yes
125,First,"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",Female,48,1,1,13567,79.2,B41,Cherbourg,5,Yes
126,First,"Fry, Mr. Richard",Male,?,0,0,112058,0,B102,Southampton,?,No
127,First,"Futrelle, Mr. Jacques Heath",Male,37,1,0,113803,53.1,C123,Southampton,?,No
128,First,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",Female,35,1,0,113803,53.1,C123,Southampton,D,Yes
129,First,"Gee, Mr. Arthur H",Male,47,0,0,111320,38.5,E63,Southampton,?,No
130,First,"Geiger, Miss. Amalie",Female,35,0,0,113503,211.5,C130,Cherbourg,4,Yes
131,First,"Gibson, Miss. Dorothy Winifred",Female,22,0,1,112378,59.4,?,Cherbourg,7,Yes
132,First,"Gibson, Mrs. Leonard (Pauline C Boeson)",Female,45,0,1,112378,59.4,?,Cherbourg,7,Yes
133,First,"Giglio, Mr. Victor",Male,24,0,0,PC 17593,79.2,B86,Cherbourg,?,No
134,First,"Goldenberg, Mr. Samuel L",Male,49,1,0,17453,89.1042,C92,Cherbourg,5,Yes
135,First,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",Female,?,1,0,17453,89.1042,C92,Cherbourg,5,Yes
136,First,"Goldschmidt, Mr. George B",Male,71,0,0,PC 17754,34.6542,A5,Cherbourg,?,No
137,First,"Gracie, Col. Archibald IV",Male,53,0,0,113780,28.5,C51,Cherbourg,B,Yes
138,First,"Graham, Miss. Margaret Edith",Female,19,0,0,112053,30,B42,Southampton,3,Yes
139,First,"Graham, Mr. George Edward",Male,38,0,1,PC 17582,153.4625,C91,Southampton,?,No
140,First,"Graham, Mrs. William Thompson (Edith Junkins)",Female,58,0,1,PC 17582,153.4625,C125,Southampton,3,Yes
141,First,"Greenfield, Mr. William Bertram",Male,23,0,1,PC 17759,63.3583,D10 D12,Cherbourg,7,Yes
142,First,"Greenfield, Mrs. Leo David (Blanche Strouse)",Female,45,0,1,PC 17759,63.3583,D10 D12,Cherbourg,7,Yes
143,First,"Guggenheim, Mr. Benjamin",Male,46,0,0,PC 17593,79.2,B82 B84,Cherbourg,?,No
144,First,"Harder, Mr. George Achilles",Male,25,1,0,11765,55.4417,E50,Cherbourg,5,Yes
145,First,"Harder, Mrs. George Achilles (Dorothy Annan)",Female,25,1,0,11765,55.4417,E50,Cherbourg,5,Yes
146,First,"Harper, Mr. Henry Sleeper",Male,48,1,0,PC 17572,76.7292,D33,Cherbourg,3,Yes
147,First,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",Female,49,1,0,PC 17572,76.7292,D33,Cherbourg,3,Yes
148,First,"Harrington, Mr. Charles H",Male,?,0,0,113796,42.4,?,Southampton,?,No
149,First,"Harris, Mr. Henry Birkhardt",Male,45,1,0,36973,83.475,C83,Southampton,?,No
150,First,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",Female,35,1,0,36973,83.475,C83,Southampton,D,Yes
151,First,"Harrison, Mr. William",Male,40,0,0,112059,0,B94,Southampton,?,No
152,First,"Hassab, Mr. Hammad",Male,27,0,0,PC 17572,76.7292,D49,Cherbourg,3,Yes
153,First,"Hawksford, Mr. Walter James",Male,?,0,0,16988,30,D45,Southampton,3,Yes
154,First,"Hays, Miss. Margaret Bechstein",Female,24,0,0,11767,83.1583,C54,Cherbourg,7,Yes
155,First,"Hays, Mr. Charles Melville",Male,55,1,1,12749,93.5,B69,Southampton,?,No
156,First,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",Female,52,1,1,12749,93.5,B69,Southampton,3,Yes
157,First,"Head, Mr. Christopher",Male,42,0,0,113038,42.5,B11,Southampton,?,No
158,First,"Hilliard, Mr. Herbert Henry",Male,?,0,0,17463,51.8625,E46,Southampton,?,No
159,First,"Hipkins, Mr. William Edward",Male,55,0,0,680,50,C39,Southampton,?,No
160,First,"Hippach, Miss. Jean Gertrude",Female,16,0,1,111361,57.9792,B18,Cherbourg,4,Yes
161,First,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",Female,44,0,1,111361,57.9792,B18,Cherbourg,4,Yes
162,First,"Hogeboom, Mrs. John C (Anna Andrews)",Female,51,1,0,13502,77.9583,D11,Southampton,10,Yes
163,First,"Holverson, Mr. Alexander Oskar",Male,42,1,0,113789,52,?,Southampton,?,No
164,First,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",Female,35,1,0,113789,52,?,Southampton,8,Yes
165,First,"Homer, Mr. Harry (""Mr E Haven"")",Male,35,0,0,111426,26.55,?,Cherbourg,15,Yes
166,First,"Hoyt, Mr. Frederick Maxfield",Male,38,1,0,19943,90,C93,Southampton,D,Yes
167,First,"Hoyt, Mr. William Fisher",Male,?,0,0,PC 17600,30.6958,?,Cherbourg,14,No
168,First,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",Female,35,1,0,19943,90,C93,Southampton,D,Yes
169,First,"Icard, Miss. Amelie",Female,38,0,0,113572,80,B28,?,6,Yes
170,First,"Isham, Miss. Ann Elizabeth",Female,50,0,0,PC 17595,28.7125,C49,Cherbourg,?,No
171,First,"Ismay, Mr. Joseph Bruce",Male,49,0,0,112058,0,B52 B54 B56,Southampton,C,Yes
172,First,"Jones, Mr. Charles Cresson",Male,46,0,0,694,26,?,Southampton,?,No
173,First,"Julian, Mr. Henry Forbes",Male,50,0,0,113044,26,E60,Southampton,?,No
174,First,"Keeping, Mr. Edwin",Male,32.5,0,0,113503,211.5,C132,Cherbourg,?,No
175,First,"Kent, Mr. Edward Austin",Male,58,0,0,11771,29.7,B37,Cherbourg,?,No
176,First,"Kenyon, Mr. Frederick R",Male,41,1,0,17464,51.8625,D21,Southampton,?,No
177,First,"Kenyon, Mrs. Frederick R (Marion)",Female,?,1,0,17464,51.8625,D21,Southampton,8,Yes
178,First,"Kimball, Mr. Edwin Nelson Jr",Male,42,1,0,11753,52.5542,D19,Southampton,5,Yes
179,First,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",Female,45,1,0,11753,52.5542,D19,Southampton,5,Yes
180,First,"Klaber, Mr. Herman",Male,?,0,0,113028,26.55,C124,Southampton,?,No
181,First,"Kreuchen, Miss. Emilie",Female,39,0,0,24160,211.3375,?,Southampton,2,Yes
182,First,"Leader, Dr. Alice (Farnham)",Female,49,0,0,17465,25.9292,D17,Southampton,8,Yes
183,First,"LeRoy, Miss. Bertha",Female,30,0,0,PC 17761,106.425,?,Cherbourg,2,Yes
184,First,"Lesurer, Mr. Gustave J",Male,35,0,0,PC 17755,512.3292,B101,Cherbourg,3,Yes
185,First,"Lewy, Mr. Ervin G",Male,?,0,0,PC 17612,27.7208,?,Cherbourg,?,No
186,First,"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")",Male,42,0,0,17475,26.55,?,Southampton,?,No
187,First,"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",Female,55,0,0,112377,27.7208,?,Cherbourg,6,Yes
188,First,"Lines, Miss. Mary Conover",Female,16,0,1,PC 17592,39.4,D28,Southampton,9,Yes
189,First,"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",Female,51,0,1,PC 17592,39.4,D28,Southampton,9,Yes
190,First,"Long, Mr. Milton Clyde",Male,29,0,0,113501,30,D6,Southampton,?,No
191,First,"Longley, Miss. Gretchen Fiske",Female,21,0,0,13502,77.9583,D9,Southampton,10,Yes
192,First,"Loring, Mr. Joseph Holland",Male,30,0,0,113801,45.5,?,Southampton,?,No
193,First,"Lurette, Miss. Elise",Female,58,0,0,PC 17569,146.5208,B80,Cherbourg,?,Yes
194,First,"Madill, Miss. Georgette Alexandra",Female,15,0,1,24160,211.3375,B5,Southampton,2,Yes
195,First,"Maguire, Mr. John Edward",Male,30,0,0,110469,26,C106,Southampton,?,No
196,First,"Maioni, Miss. Roberta",Female,16,0,0,110152,86.5,B79,Southampton,8,Yes
197,First,"Marechal, Mr. Pierre",Male,?,0,0,11774,29.7,C47,Cherbourg,7,Yes
198,First,"Marvin, Mr. Daniel Warner",Male,19,1,0,113773,53.1,D30,Southampton,?,No
199,First,"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",Female,18,1,0,113773,53.1,D30,Southampton,10,Yes
200,First,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",Female,24,0,0,PC 17482,49.5042,C90,Cherbourg,6,Yes
201,First,"McCaffry, Mr. Thomas Francis",Male,46,0,0,13050,75.2417,C6,Cherbourg,?,No
202,First,"McCarthy, Mr. Timothy J",Male,54,0,0,17463,51.8625,E46,Southampton,?,No
203,First,"McGough, Mr. James Robert",Male,36,0,0,PC 17473,26.2875,E25,Southampton,7,Yes
204,First,"Meyer, Mr. Edgar Joseph",Male,28,1,0,PC 17604,82.1708,?,Cherbourg,?,No
205,First,"Meyer, Mrs. Edgar Joseph (Leila Saks)",Female,?,1,0,PC 17604,82.1708,?,Cherbourg,6,Yes
206,First,"Millet, Mr. Francis Davis",Male,65,0,0,13509,26.55,E38,Southampton,?,No
207,First,"Minahan, Dr. William Edward",Male,44,2,0,19928,90,C78,Queenstown,?,No
208,First,"Minahan, Miss. Daisy E",Female,33,1,0,19928,90,C78,Queenstown,14,Yes
209,First,"Minahan, Mrs. William Edward (Lillian E Thorpe)",Female,37,1,0,19928,90,C78,Queenstown,14,Yes
210,First,"Mock, Mr. Philipp Edmund",Male,30,1,0,13236,57.75,C78,Cherbourg,11,Yes
211,First,"Molson, Mr. Harry Markland",Male,55,0,0,113787,30.5,C30,Southampton,?,No
212,First,"Moore, Mr. Clarence Bloomfield",Male,47,0,0,113796,42.4,?,Southampton,?,No
213,First,"Natsch, Mr. Charles H",Male,37,0,1,PC 17596,29.7,C118,Cherbourg,?,No
214,First,"Newell, Miss. Madeleine",Female,31,1,0,35273,113.275,D36,Cherbourg,6,Yes
215,First,"Newell, Miss. Marjorie",Female,23,1,0,35273,113.275,D36,Cherbourg,6,Yes
216,First,"Newell, Mr. Arthur Webster",Male,58,0,2,35273,113.275,D48,Cherbourg,?,No
217,First,"Newsom, Miss. Helen Monypeny",Female,19,0,2,11752,26.2833,D47,Southampton,5,Yes
218,First,"Nicholson, Mr. Arthur Ernest",Male,64,0,0,693,26,?,Southampton,?,No
219,First,"Oliva y Ocana, Dona. Fermina",Female,39,0,0,PC 17758,108.9,C105,Cherbourg,8,Yes
220,First,"Omont, Mr. Alfred Fernand",Male,?,0,0,F.C. 12998,25.7417,?,Cherbourg,7,Yes
221,First,"Ostby, Miss. Helene Ragnhild",Female,22,0,1,113509,61.9792,B36,Cherbourg,5,Yes
222,First,"Ostby, Mr. Engelhart Cornelius",Male,65,0,1,113509,61.9792,B30,Cherbourg,?,No
223,First,"Ovies y Rodriguez, Mr. Servando",Male,28.5,0,0,PC 17562,27.7208,D43,Cherbourg,?,No
224,First,"Parr, Mr. William Henry Marsh",Male,?,0,0,112052,0,?,Southampton,?,No
225,First,"Partner, Mr. Austen",Male,45.5,0,0,113043,28.5,C124,Southampton,?,No
226,First,"Payne, Mr. Vivian Ponsonby",Male,23,0,0,12749,93.5,B24,Southampton,?,No
227,First,"Pears, Mr. Thomas Clinton",Male,29,1,0,113776,66.6,C2,Southampton,?,No
228,First,"Pears, Mrs. Thomas (Edith Wearne)",Female,22,1,0,113776,66.6,C2,Southampton,8,Yes
229,First,"Penasco y Castellana, Mr. Victor de Satode",Male,18,1,0,PC 17758,108.9,C65,Cherbourg,?,No
230,First,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",Female,17,1,0,PC 17758,108.9,C65,Cherbourg,8,Yes
231,First,"Perreault, Miss. Anne",Female,30,0,0,12749,93.5,B73,Southampton,3,Yes
232,First,"Peuchen, Major. Arthur Godfrey",Male,52,0,0,113786,30.5,C104,Southampton,6,Yes
233,First,"Porter, Mr. Walter Chamberlain",Male,47,0,0,110465,52,C110,Southampton,?,No
234,First,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",Female,56,0,1,11767,83.1583,C50,Cherbourg,7,Yes
235,First,"Reuchlin, Jonkheer. John George",Male,38,0,0,19972,0,?,Southampton,?,No
236,First,"Rheims, Mr. George Alexander Lucien",Male,?,0,0,PC 17607,39.6,?,Southampton,A,Yes
237,First,"Ringhini, Mr. Sante",Male,22,0,0,PC 17760,135.6333,?,Cherbourg,?,No
238,First,"Robbins, Mr. Victor",Male,?,0,0,PC 17757,227.525,?,Cherbourg,?,No
239,First,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",Female,43,0,1,24160,211.3375,B3,Southampton,2,Yes
240,First,"Roebling, Mr. Washington Augustus II",Male,31,0,0,PC 17590,50.4958,A24,Southampton,?,No
241,First,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",Male,45,0,0,111428,26.55,?,Southampton,9,Yes
242,First,"Rood, Mr. Hugh Roscoe",Male,?,0,0,113767,50,A32,Southampton,?,No
243,First,"Rosenbaum, Miss. Edith Louise",Female,33,0,0,PC 17613,27.7208,A11,Cherbourg,11,Yes
244,First,"Rosenshine, Mr. George (""Mr George Thorne"")",Male,46,0,0,PC 17585,79.2,?,Cherbourg,?,No
245,First,"Ross, Mr. John Hugo",Male,36,0,0,13049,40.125,A10,Cherbourg,?,No
246,First,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",Female,33,0,0,110152,86.5,B77,Southampton,8,Yes
247,First,"Rothschild, Mr. Martin",Male,55,1,0,PC 17603,59.4,?,Cherbourg,?,No
